Vivado Simulator 2018.2
Time resolution is 1 ps
Time=                   0, PC=xx, Instr=xxxxxxxx, ALUResult=xxxxxxxx, RegWrite=x
Time=                5000, PC=00, Instr=00002083, ALUResult=00000000, RegWrite=1
Time=               15000, PC=04, Instr=00402103, ALUResult=00000004, RegWrite=1
Time=               25000, PC=08, Instr=00802183, ALUResult=00000008, RegWrite=1
Time=               35000, PC=0c, Instr=002082b3, ALUResult=0000001e, RegWrite=1
Time=               45000, PC=10, Instr=40208333, ALUResult=fffffff6, RegWrite=1
Time=               55000, PC=14, Instr=0020f3b3, ALUResult=00000000, RegWrite=1
Time=               65000, PC=18, Instr=0020e433, ALUResult=0000001e, RegWrite=1
Time=               75000, PC=1c, Instr=0020c4b3, ALUResult=0000001e, RegWrite=1
Time=               85000, PC=20, Instr=00209533, ALUResult=00a00000, RegWrite=1
Time=               95000, PC=24, Instr=0020d5b3, ALUResult=00000000, RegWrite=1
Time=              105000, PC=28, Instr=4020d633, ALUResult=00000000, RegWrite=1
Time=              115000, PC=2c, Instr=0020a6b3, ALUResult=00000001, RegWrite=1
Time=              125000, PC=30, Instr=0020b733, ALUResult=00000001, RegWrite=1
Time=              135000, PC=34, Instr=xxxxxxxx, ALUResult=00000000, RegWrite=1
Time=              145000, PC=38, Instr=xxxxxxxx, ALUResult=00000000, RegWrite=1
Time=              155000, PC=3c, Instr=xxxxxxxx, ALUResult=00000000, RegWrite=1
Time=              165000, PC=00, Instr=00002083, ALUResult=00000000, RegWrite=1
Time=              175000, PC=04, Instr=00402103, ALUResult=00000004, RegWrite=1
Time=              185000, PC=08, Instr=00802183, ALUResult=00000008, RegWrite=1
Time=              195000, PC=0c, Instr=002082b3, ALUResult=0000001e, RegWrite=1
Time=              205000, PC=10, Instr=40208333, ALUResult=fffffff6, RegWrite=1
Time=              215000, PC=14, Instr=0020f3b3, ALUResult=00000000, RegWrite=1
Time=              225000, PC=18, Instr=0020e433, ALUResult=0000001e, RegWrite=1
Time=              235000, PC=1c, Instr=0020c4b3, ALUResult=0000001e, RegWrite=1
Time=              245000, PC=20, Instr=00209533, ALUResult=00a00000, RegWrite=1
Time=              255000, PC=24, Instr=0020d5b3, ALUResult=00000000, RegWrite=1
Time=              265000, PC=28, Instr=4020d633, ALUResult=00000000, RegWrite=1
Time=              275000, PC=2c, Instr=0020a6b3, ALUResult=00000001, RegWrite=1
Time=              285000, PC=30, Instr=0020b733, ALUResult=00000001, RegWrite=1
Time=              295000, PC=34, Instr=xxxxxxxx, ALUResult=00000000, RegWrite=1
Time=              305000, PC=38, Instr=xxxxxxxx, ALUResult=00000000, RegWrite=1
Time=              315000, PC=3c, Instr=xxxxxxxx, ALUResult=00000000, RegWrite=1
Time=              325000, PC=00, Instr=00002083, ALUResult=00000000, RegWrite=1
Time=              335000, PC=04, Instr=00402103, ALUResult=00000004, RegWrite=1
Time=              345000, PC=08, Instr=00802183, ALUResult=00000008, RegWrite=1
Time=              355000, PC=0c, Instr=002082b3, ALUResult=0000001e, RegWrite=1
Time=              365000, PC=10, Instr=40208333, ALUResult=fffffff6, RegWrite=1
Time=              375000, PC=14, Instr=0020f3b3, ALUResult=00000000, RegWrite=1
Time=              385000, PC=18, Instr=0020e433, ALUResult=0000001e, RegWrite=1
Time=              395000, PC=1c, Instr=0020c4b3, ALUResult=0000001e, RegWrite=1
Time=              405000, PC=20, Instr=00209533, ALUResult=00a00000, RegWrite=1
Time=              415000, PC=24, Instr=0020d5b3, ALUResult=00000000, RegWrite=1
Time=              425000, PC=28, Instr=4020d633, ALUResult=00000000, RegWrite=1
Time=              435000, PC=2c, Instr=0020a6b3, ALUResult=00000001, RegWrite=1
Time=              445000, PC=30, Instr=0020b733, ALUResult=00000001, RegWrite=1
Time=              455000, PC=34, Instr=xxxxxxxx, ALUResult=00000000, RegWrite=1
Time=              465000, PC=38, Instr=xxxxxxxx, ALUResult=00000000, RegWrite=1
Time=              475000, PC=3c, Instr=xxxxxxxx, ALUResult=00000000, RegWrite=1
Time=              485000, PC=00, Instr=00002083, ALUResult=00000000, RegWrite=1
Time=              495000, PC=04, Instr=00402103, ALUResult=00000004, RegWrite=1
Time=              505000, PC=08, Instr=00802183, ALUResult=00000008, RegWrite=1
Time=              515000, PC=0c, Instr=002082b3, ALUResult=0000001e, RegWrite=1
Time=              525000, PC=10, Instr=40208333, ALUResult=fffffff6, RegWrite=1
Time=              535000, PC=14, Instr=0020f3b3, ALUResult=00000000, RegWrite=1
Time=              545000, PC=18, Instr=0020e433, ALUResult=0000001e, RegWrite=1
Time=              555000, PC=1c, Instr=0020c4b3, ALUResult=0000001e, RegWrite=1
Time=              565000, PC=20, Instr=00209533, ALUResult=00a00000, RegWrite=1
Time=              575000, PC=24, Instr=0020d5b3, ALUResult=00000000, RegWrite=1
Time=              585000, PC=28, Instr=4020d633, ALUResult=00000000, RegWrite=1
Time=              595000, PC=2c, Instr=0020a6b3, ALUResult=00000001, RegWrite=1
Time=              605000, PC=30, Instr=0020b733, ALUResult=00000001, RegWrite=1
$finish called at time : 615 ns : File "C:/Users/iiHAK/Downloads/ArcProj1M1-main/ArcProj1M1-main - Copy/ArcProj1M1/ArcProj1M1.srcs/sim_1/new/Simulation.v" Line 40
